Building,Ticker,RecipeID,WfCst,Deprec,Area,AllBuildCst,Output1CNT,Output1MAT,Output2CNT,Output2MAT,Output3CNT,Output3MAT,Input1CNT,Input1MAT,Input2CNT,Input2MAT,Input3CNT,Input3MAT,Input4CNT,Input4MAT,Input5CNT,Input5MAT,Input6CNT,Input6MAT,Input7CNT,Input7MAT,Input8CNT,Input8MAT,Input9CNT,Input9MAT,Input10CNT,Input10MAT,RecipP/D,Runs P/D,Output P/D,AreaPerOutput
SPF,RCT,RCT,27298.86,4788.51,51.6,953280,1,RCT,,,,,10,AST,1,CBS,1,RAG,,,,,,,,,,,,,,,1.62500,0.61538,0.61538,83.85000
SPF,QCR,QCR,31498.69,5525.21,51.6,953280,1,QCR,,,,,20,BGO,1,CBS,1,RAG,,,,,,,,,,,,,,,1.87500,0.53333,0.53333,96.75000
SPF,AFP,AFP,4199.83,736.69,51.6,953280,1,AFP,,,,,10,ATP,50,PG,1,SFK,,,,,,,,,,,,,,,0.25000,4.00000,4.00000,12.90000
SPF,BFP,BFP,3149.87,552.52,51.6,953280,1,BFP,,,,,50,PG,1,SFK,5,THP,,,,,,,,,,,,,,,0.18750,5.33333,5.33333,9.67500
SPF,ANZ,ANZ,7349.69,1289.22,51.6,953280,1,ANZ,,,,,1,CHA,20,FET,4,MFK,,,,,,,,,,,,,,,0.43750,2.28571,2.28571,22.57500
SPF,HNZ,HNZ,9449.61,1657.56,51.6,953280,1,HNZ,,,,,1,CHA,4,MFK,20,WAL,,,,,,,,,,,,,,,0.56250,1.77778,1.77778,29.02500
SPF,HYR,HYR,73496.94,12892.15,51.6,953280,1,HYR,,,,,1,CBL,2,FIR,20,WAL,,,,,,,,,,,,,,,4.37500,0.22857,0.22857,225.75000
SPF,AEN,AEN,20999.13,3683.47,51.6,953280,1,AEN,,,,,1,ACS,4,AFP,4,ANZ,20,FET,1,MFK,,,,,,,,,,,1.25000,0.80000,0.80000,64.50000
SPF,ENG,ENG,8399.65,1473.39,51.6,953280,1,ENG,,,,,1,ACS,10,AST,4,BFP,1,MFK,4,NOZ,,,,,,,,,,,0.50000,2.00000,2.00000,25.80000
SPF,FSE,FSE,10499.56,1841.74,51.6,953280,1,FSE,,,,,1,ACS,25,BRO,6,LFP,1,MFK,6,NOZ,,,,,,,,,,,0.62500,1.60000,1.60000,32.25000
SPF,HTE,HTE,41998.25,7366.94,51.6,953280,1,HTE,,,,,1,ACS,8,AFP,4,HNZ,1,MFK,20,WAL,,,,,,,,,,,2.50000,0.40000,0.40000,129.00000
SPP,AGS,AGS,10674.25,4135.83,71.8,805860,1,AGS,,,,,20,AST,100,PG,8,TK,,,,,,,,,,,,,,,1.25000,0.80000,0.80000,89.75000
SPP,APT,APT,2668.56,1033.96,71.8,805860,12,APT,,,,,5,ATP,30,THF,,,,,,,,,,,,,,,,,0.31250,3.20000,38.40000,1.86979
SPP,BRP,BRP,2134.85,827.17,71.8,805860,12,BRP,,,,,2,KV,5,LST,,,,,,,,,,,,,,,,,0.25000,4.00000,48.00000,1.49583
SPP,ARP,ARP,2668.56,1033.96,71.8,805860,10,ARP,,,,,5,LST,2,TK,,,,,,,,,,,,,,,,,0.31250,3.20000,32.00000,2.24375
SPP,SRP,SRP,2668.56,1033.96,71.8,805860,10,SRP,,,,,5,LST,5,TA,5,W,,,,,,,,,,,,,,,0.31250,3.20000,32.00000,2.24375
SPP,BPT,BPT,1867.99,723.77,71.8,805860,12,BPT,,,,,20,THF,5,THP,,,,,,,,,,,,,,,,,0.21875,4.57143,54.85714,1.30885
SPP,BGS,BGS,8005.69,3101.88,71.8,805860,1,BGS,,,,,14,FAL,4,KV,80,PG,,,,,,,,,,,,,,,0.93750,1.06667,1.06667,67.31250
TNP,ETC,ETC,2160.40,650.50,41.2,339396,1,ETC,,,,,4,FLX,4,REA,1,TC,,,,,,,,,,,,,,,0.50000,2.00000,2.00000,20.60000
TNP,TC,TC,1836.34,552.93,41.2,339396,1,TC,1,O,,,1,TCO,,,,,,,,,,,,,,,,,,,0.42500,2.35294,2.35294,17.51000
TNP,TCS,TCS,1350.25,406.56,41.2,339396,3,TCS,,,,,1,TC,,,,,,,,,,,,,,,,,,,0.31250,3.20000,9.60000,4.29167
UPF,BR1,BR1,4647.98,967.08,58.0,82284,1,BR1,,,,,1,COM,10,FET,1,NV1,10,PSL,20,PSM,5,SAR,,,,,,,,,2.50000,0.40000,0.40000,145.00000
UPF,BR2,BR2,5809.97,1208.85,58.0,82284,1,BR2,,,,,1,COM,10,FET,1,NV2,10,PSL,20,PSM,10,SAR,,,,,,,,,3.12500,0.32000,0.32000,181.25000
UPF,CQM,CQM,2904.98,604.43,58.0,82284,1,CQM,,,,,10,DEC,1,LIS,10,PSL,20,PSM,1,TCU,10,TI,,,,,,,,,1.56250,0.64000,0.64000,90.62500
UPF,BRS,BRS,3485.98,725.31,58.0,82284,1,BRS,,,,,10,PSL,20,PSM,4,RAD,5,SAR,10,TI,,,,,,,,,,,1.87500,0.53333,0.53333,108.75000
UPF,DOU,DOU,2091.59,435.19,58.0,82284,1,DOU,,,,,1,COM,10,PSL,4,SAR,,,,,,,,,,,,,,,1.12500,0.88889,0.88889,65.25000
UPF,TCU,TCU,1859.19,386.83,58.0,82284,1,TCU,,,,,1,ADR,12,PSL,8,PSM,,,,,,,,,,,,,,,1.00000,1.00000,1.00000,58.00000
UPF,FUN,FUN,2556.39,531.90,58.0,82284,1,FUN,,,,,1,BID,1,BWS,4,PCB,8,PSL,,,,,,,,,,,,,1.37500,0.72727,0.72727,79.75000
UPF,LU,LU,1742.99,362.66,58.0,82284,1,LU,,,,,1,DA,10,PSL,6,PSM,1,WS,,,,,,,,,,,,,0.93750,1.06667,1.06667,54.37500
UPF,CQL,CQL,3485.98,725.31,58.0,82284,1,CQL,,,,,20,DEC,20,FET,1,LIS,20,PSL,30,PSM,1,TCU,,,,,,,,,1.87500,0.53333,0.53333,108.75000
UPF,RDS,RDS,3485.98,725.31,58.0,82284,1,RDS,,,,,20,PSL,30,PSM,4,SRD,,,,,,,,,,,,,,,1.87500,0.53333,0.53333,108.75000
UPF,WOR,WOR,2091.59,435.19,58.0,82284,1,WOR,,,,,20,PSL,12,PSM,6,UTS,,,,,,,,,,,,,,,1.12500,0.88889,0.88889,65.25000
UPF,CQT,CQT,1975.39,411.01,58.0,82284,1,CQT,,,,,5,AL,1,BMF,1,DEC,2,PSL,5,PSM,1,TCU,,,,,,,,,1.06250,0.94118,0.94118,61.62500
UPF,RDL,RDL,5809.97,1208.85,58.0,82284,1,RDL,,,,,30,PSL,50,PSM,8,SRD,,,,,,,,,,,,,,,3.12500,0.32000,0.32000,181.25000
UPF,SU,SU,2323.99,483.54,58.0,82284,1,SU,,,,,2,BSC,10,NG,12,PSL,8,PSM,4,SEQ,,,,,,,,,,,1.25000,0.80000,0.80000,72.50000
UPF,CQS,CQS,2323.99,483.54,58.0,82284,1,CQS,,,,,2,DEC,5,FAL,1,LIS,5,PSL,10,PSM,1,TCU,,,,,,,,,1.25000,0.80000,0.80000,72.50000
UPF,HAB,HAB,2323.99,483.54,58.0,82284,1,HAB,,,,,6,BBH,10,BDE,10,BSE,50,SOI,,,,,,,,,,,,,1.25000,0.80000,0.80000,72.50000
WEL,CHA,CHA,345.56,47.25,26.0,44079,1,CHA,,,,,10,BOS,1,GV,1,HE,,,,,,,,,,,,,,,0.28125,3.55556,3.55556,7.31250
WEL,FC,FC,307.16,42.00,26.0,44079,1,FC,,,,,1,AL,1,BSE,1,HE,,,,,,,,,,,,,,,0.25000,4.00000,4.00000,6.50000
WEL,GV,GV,191.98,26.25,26.0,44079,1,GV,,,,,1,AL,1,HE,,,,,,,,,,,,,,,,,0.15625,6.40000,6.40000,4.06250
WEL,GC,GC,230.37,31.50,26.0,44079,10,GC,,,,,1,AL,1,FE,1,HE,,,,,,,,,,,,,,,0.18750,5.33333,53.33333,0.48750
WEL,FLP,FLP,383.95,52.50,26.0,44079,6,FLP,,,,,1,AL,1,FE,1,HE,,,,,,,,,,,,,,,0.31250,3.20000,19.20000,1.35417
WEL,MHL,MHL,537.53,73.50,26.0,44079,1,MHL,,,,,1,FE,1,HE,1,I,,,,,,,,,,,,,,,0.43750,2.28571,2.28571,11.37500
WEL,SSC,SSC,76.79,10.50,26.0,44079,6,SSC,,,,,2,AL,1,HE,20,NFI,,,,,,,,,,,,,,,0.06250,16.00000,96.00000,0.27083
WEL,TRU,TRU,153.58,21.00,26.0,44079,6,TRU,,,,,2,AL,1,HE,,,,,,,,,,,,,,,,,0.12500,8.00000,48.00000,0.54167
WEL,THP,THP,138.22,18.90,26.0,44079,4,THP,,,,,2,BE,2,CF,1,HE,,,,,,,,,,,,,,,0.11250,8.88889,35.55556,0.73125
WEL,DRF,DRF_2,76.79,10.50,26.0,44079,1,DRF,,,,,6,AL,1,HE,,,,,,,,,,,,,,,,,0.06250,16.00000,16.00000,1.62500
WPL,TK,TK,1187.67,223.84,48.4,83810,1,TK,,,,,1,KV,1,TC,,,,,,,,,,,,,,,,,0.56250,1.77778,1.77778,27.22500
WPL,COT,COT,395.89,74.61,48.4,83810,1,COT,,,,,1,RCO,,,,,,,,,,,,,,,,,,,0.18750,5.33333,5.33333,9.07500
WPL,SIL,SIL,659.82,124.36,48.4,83810,1,SIL,,,,,1,RSI,,,,,,,,,,,,,,,,,,,0.31250,3.20000,3.20000,15.12500
WPL,NL,NL,659.82,124.36,48.4,83810,1,NL,,,,,50,PG,,,,,,,,,,,,,,,,,,,0.31250,3.20000,3.20000,15.12500
WPL,KV,KV,1055.71,198.97,48.4,83810,1,KV,,,,,75,PG,5,TCL,,,,,,,,,,,,,,,,,0.50000,2.00000,2.00000,24.20000
